DistinguishedName,Enabled,GivenName,Name,ObjectClass,ObjectGUID,SamAccountName,SID,Surname,UserPrincipalName
"CN=Emmitt Blanchard,OU=Alsid,DC=alsid,DC=corp",TRUE,Emmitt,Emmitt Blanchard,user,85325505-b0d4-43ab-a865-5437569a4e72,emmitt.blanchard,S-1-5-21-3286942722-1835917726-286516016-1131,Blanchard,emmitt.blanchard@ad.vulndomain.corp
"CN=Lemuel Carver,OU=Alsid,DC=alsid,DC=corp",TRUE,Lemuel,Lemuel Carver,user,19c52a50-5d03-417b-b9c8-3292a2e0f58c,lemuel.carver,S-1-5-21-3286942722-1835917726-286516016-1132,Carver,lemuel.carver@ad.vulndomain.corp
"CN=Cloud Strife,OU=Alsid,DC=alsid,DC=corp",TRUE,Cloud,Cloud Strife,user,97685940-b1eb-48c3-b317-ff2cecb4ef5f,cloud.strife,S-1-5-21-3286942722-1835917726-286516016-1133,Strife,cloud.strife@ad.vulndomain.corp
"CN=Jordan Cade,OU=Alsid,DC=alsid,DC=corp",TRUE,Jordan,Jordan Cade,user,c4e1943a-252e-4f7b-9e1a-a86240fcd448,jordan.cade,S-1-5-21-3286942722-1835917726-286516016-1134,Cade,jordan.cade@ad.vulndomain.corp
"CN=Max Christiansen,OU=Alsid,DC=alsid,DC=corp",TRUE,Max,Max Christiansen,user,991544c5-eb86-4f41-bd6f-78d3610102c7,max.christiansen,S-1-5-21-3286942722-1835917726-286516016-1135,Christiansen,max.christiansen@ad.vulndomain.corp
"CN=Adan Abreu,OU=Alsid,DC=alsid,DC=corp",TRUE,Adan,Adan Abreu,user,6ec93830-af1f-45e5-aba9-497df2d66b1f,adan.abreu,S-1-5-21-3286942722-1835917726-286516016-1136,Abreu,adan.abreu@ad.vulndomain.corp
"CN=Silent Bob,OU=Alsid,DC=alsid,DC=corp",TRUE,Silent,Silent Bob,user,8b2fa642-dac5-41f5-a682-09d56b62583a,silent.bob,S-1-5-21-3286942722-1835917726-286516016-1137,Bob,silent.bob@ad.vulndomain.corp
"CN=Jonas Cabral,OU=Alsid,DC=alsid,DC=corp",TRUE,Jonas,Jonas Cabral,user,39441fb8-db73-489b-a967-e0b0ccdd3ec3,jonas.cabral,S-1-5-21-3286942722-1835917726-286516016-1138,Cabral,jonas.cabral@ad.vulndomain.corp
"CN=Clinton Barnette,OU=Alsid,DC=alsid,DC=corp",TRUE,Clinton,Clinton Barnette,user,5a0de1de-8f7e-4fb8-9d8f-4fd5de29fc87,clinton.barnette,S-1-5-21-3286942722-1835917726-286516016-1139,Barnette,clinton.barnette@ad.vulndomain.corp
"CN=Bennett Antoine,OU=Alsid,DC=alsid,DC=corp",TRUE,Bennett,Bennett Antoine,user,7209e399-ac56-43fc-88b4-eef9e8ef687f,bennett.antoine,S-1-5-21-3286942722-1835917726-286516016-1140,Antoine,bennett.antoine@ad.vulndomain.corp
"CN=Jake Buford,OU=Alsid,DC=alsid,DC=corp",TRUE,Jake,Jake Buford,user,68333c88-76a9-4f17-afd6-773cb222afde,jake.buford,S-1-5-21-3286942722-1835917726-286516016-1141,Buford,jake.buford@ad.vulndomain.corp
"CN=Harrison Breeden,OU=Alsid,DC=alsid,DC=corp",TRUE,Harrison,Harrison Breeden,user,b2845e16-2a6d-4a97-a56c-91d343cf595b,harrison.breeden,S-1-5-21-3286942722-1835917726-286516016-1142,Breeden,harrison.breeden@ad.vulndomain.corp
"CN=Aaron Aaron,OU=Alsid,DC=alsid,DC=corp",TRUE,Aaron,Aaron Aaron,user,da3ee2d9-b03e-4a50-ac23-d3b1f8280a06,aaron.aaron,S-1-5-21-3286942722-1835917726-286516016-1143,Aaron,aaron.aaron@ad.vulndomain.corp
"CN=Jules Calloway,OU=Alsid,DC=alsid,DC=corp",TRUE,Jules,Jules Calloway,user,cdd2150c-86d3-438d-8053-f66becd18d36,jules.calloway,S-1-5-21-3286942722-1835917726-286516016-1144,Calloway,jules.calloway@ad.vulndomain.corp
"CN=Darnell Beach,OU=Alsid,DC=alsid,DC=corp",TRUE,Darnell,Darnell Beach,user,64505310-da8e-4c97-8db5-49e5444930de,darnell.beach,S-1-5-21-3286942722-1835917726-286516016-1145,Beach,darnell.beach@ad.vulndomain.corp
"CN=Grant Brady,OU=Alsid,DC=alsid,DC=corp",TRUE,Grant,Grant Brady,user,60b11ba3-88fe-427e-b3b9-6947ef890e17,grant.brady,S-1-5-21-3286942722-1835917726-286516016-1146,Brady,grant.brady@ad.vulndomain.corp
"CN=Everett Bobbitt,OU=Alsid,DC=alsid,DC=corp",TRUE,Everett,Everett Bobbitt,user,17fc1b38-493a-4978-a68a-320f451da2f1,everett.bobbitt,S-1-5-21-3286942722-1835917726-286516016-1147,Bobbitt,everett.bobbitt@ad.vulndomain.corp
"CN=Antoine Ali,OU=Alsid,DC=alsid,DC=corp",TRUE,Antoine,Antoine Ali,user,0ea8140e-8f09-4566-b0c6-c24a62922aab,antoine.ali,S-1-5-21-3286942722-1835917726-286516016-1148,Ali,antoine.ali@ad.vulndomain.corp
"CN=Fredric Borrego,OU=Alsid,DC=alsid,DC=corp",TRUE,Fredric,Fredric Borrego,user,1d1a75fd-2638-4ce2-8f37-a1bea7117a9a,fredric.borrego,S-1-5-21-3286942722-1835917726-286516016-1149,Borrego,fredric.borrego@ad.vulndomain.corp
"CN=Logan Cato,OU=Alsid,DC=alsid,DC=corp",TRUE,Logan,Logan Cato,user,db635c2e-6776-45e6-8e8b-8d8c8f9339bf,logan.cato,S-1-5-21-3286942722-1835917726-286516016-1150,Cato,logan.cato@ad.vulndomain.corp
"CN=Burl Ault,OU=Alsid,DC=alsid,DC=corp",TRUE,Burl,Burl Ault,user,106db6ea-ddd9-459f-a3e2-1a7e89d905a8,burl.ault,S-1-5-21-3286942722-1835917726-286516016-1151,Ault,burl.ault@ad.vulndomain.corp
"CN=Major Chappell,OU=Alsid,DC=alsid,DC=corp",TRUE,Major,Major Chappell,user,615c7616-4bca-4529-bd84-2a15f0302009,major.chappell,S-1-5-21-3286942722-1835917726-286516016-1152,Chappell,major.chappell@ad.vulndomain.corp
"CN=Dale Cooper,OU=Alsid,DC=alsid,DC=corp",TRUE,Dale,Dale Cooper,user,5febe898-cc51-4aeb-bfa4-71c4cfb0e2aa,dale.cooper,S-1-5-21-3286942722-1835917726-286516016-1153,Cooper,dale.cooper@ad.vulndomain.corp
"CN=Jerold Burns,OU=Alsid,DC=alsid,DC=corp",TRUE,Jerold,Jerold Burns,user,3eea2633-b82e-473a-8e25-b3bb3de24021,jerold.burns,S-1-5-21-3286942722-1835917726-286516016-1154,Burns,jerold.burns@ad.vulndomain.corp
"CN=Louie Cecil,OU=Alsid,DC=alsid,DC=corp",TRUE,Louie,Louie Cecil,user,0efca668-d924-4c32-9a81-21a89dbf4286,louie.cecil,S-1-5-21-3286942722-1835917726-286516016-1155,Cecil,louie.cecil@ad.vulndomain.corp
"CN=Archie Allman,OU=Alsid,DC=alsid,DC=corp",TRUE,Archie,Archie Allman,user,6cfda401-e8ea-4fb9-8cd2-03183ab5c75f,archie.allman,S-1-5-21-3286942722-1835917726-286516016-1156,Allman,archie.allman@ad.vulndomain.corp
"CN=Edgardo Betancourt,OU=Alsid,DC=alsid,DC=corp",TRUE,Edgardo,Edgardo Betancourt,user,d19e7824-2318-489d-b6fa-c630824f128d,edgardo.betancourt,S-1-5-21-3286942722-1835917726-286516016-1157,Betancourt,edgardo.betancourt@ad.vulndomain.corp
"CN=Clemente Barker,OU=Alsid,DC=alsid,DC=corp",TRUE,Clemente,Clemente Barker,user,e2a30496-257f-40e5-9701-23c397cd59a7,clemente.barker,S-1-5-21-3286942722-1835917726-286516016-1158,Barker,clemente.barker@ad.vulndomain.corp
"CN=Gregory House,OU=Alsid,DC=alsid,DC=corp",TRUE,Gregory,Gregory House,user,473d8a45-8990-4804-a1af-4ce7b6200921,gregory.house,S-1-5-21-3286942722-1835917726-286516016-1159,House,gregory.house@ad.vulndomain.corp
"CN=Faustino Bohannon,OU=Alsid,DC=alsid,DC=corp",TRUE,Faustino,Faustino Bohannon,user,b4367da7-2fdd-4ae8-bfb7-8698d611c793,faustino.bohannon,S-1-5-21-3286942722-1835917726-286516016-1160,Bohannon,faustino.bohannon@ad.vulndomain.corp
"CN=Everette Bobo,OU=Alsid,DC=alsid,DC=corp",TRUE,Everette,Everette Bobo,user,ea78e08d-974e-4947-8337-5137ea988e7b,everette.bobo,S-1-5-21-3286942722-1835917726-286516016-1161,Bobo,everette.bobo@ad.vulndomain.corp
"CN=Claude Barden,OU=Alsid,DC=alsid,DC=corp",TRUE,Claude,Claude Barden,user,bb50fa0c-3ac5-4b21-97e8-46eb0c01c50d,claude.barden,S-1-5-21-3286942722-1835917726-286516016-1162,Barden,claude.barden@ad.vulndomain.corp
"CN=Jacinto Buchanan,OU=Alsid,DC=alsid,DC=corp",TRUE,Jacinto,Jacinto Buchanan,user,6a5b8547-8689-47af-b853-d6f09b77057b,jacinto.buchanan,S-1-5-21-3286942722-1835917726-286516016-1163,Buchanan,jacinto.buchanan@ad.vulndomain.corp
"CN=Duncan Bermudez,OU=Alsid,DC=alsid,DC=corp",TRUE,Duncan,Duncan Bermudez,user,80a9dcae-acdd-46ef-8e14-85de87b95ad6,duncan.bermudez,S-1-5-21-3286942722-1835917726-286516016-1164,Bermudez,duncan.bermudez@ad.vulndomain.corp
"CN=Angel Aleman,OU=Alsid,DC=alsid,DC=corp",TRUE,Angel,Angel Aleman,user,71a8b45f-afb5-4042-9a5c-cb1a6ca609ff,angel.aleman,S-1-5-21-3286942722-1835917726-286516016-1165,Aleman,angel.aleman@ad.vulndomain.corp
"CN=Alex Agee,OU=Alsid,DC=alsid,DC=corp",TRUE,Alex,Alex Agee,user,690943f5-a8b8-4015-804f-6e1ce1256063,alex.agee,S-1-5-21-3286942722-1835917726-286516016-1166,Agee,alex.agee@ad.vulndomain.corp
"CN=Asa Amaya,OU=Alsid,DC=alsid,DC=corp",TRUE,Asa,Asa Amaya,user,0b826082-5346-439e-a817-7e9c23116854,asa.amaya,S-1-5-21-3286942722-1835917726-286516016-1167,Amaya,asa.amaya@ad.vulndomain.corp
"CN=Barton Andrew,OU=Alsid,DC=alsid,DC=corp",TRUE,Barton,Barton Andrew,user,1824bb82-7511-4dec-b734-04a37aa74ecf,barton.andrew,S-1-5-21-3286942722-1835917726-286516016-1168,Andrew,barton.andrew@ad.vulndomain.corp
"CN=Erwin Bloom,OU=Alsid,DC=alsid,DC=corp",TRUE,Erwin,Erwin Bloom,user,d8573176-ad3a-44a1-9bd8-620b03259119,erwin.bloom,S-1-5-21-3286942722-1835917726-286516016-1169,Bloom,erwin.bloom@ad.vulndomain.corp
"CN=Hugo Broome,OU=Alsid,DC=alsid,DC=corp",TRUE,Hugo,Hugo Broome,user,a7da5184-ce95-427e-85b1-9b7f4ed46237,hugo.broome,S-1-5-21-3286942722-1835917726-286516016-1170,Broome,hugo.broome@ad.vulndomain.corp
"CN=Margarito Cheng,OU=Alsid,DC=alsid,DC=corp",TRUE,Margarito,Margarito Cheng,user,f712df44-8b0f-4576-8d61-ae9202b2130b,margarito.cheng,S-1-5-21-3286942722-1835917726-286516016-1171,Cheng,margarito.cheng@ad.vulndomain.corp
"CN=Omar Little,OU=Alsid,DC=alsid,DC=corp",TRUE,Omar,Omar Little,user,10db4e4c-b3b0-4293-b5db-a158a368ddd2,omar.little,S-1-5-21-3286942722-1835917726-286516016-1172,Little,omar.little@ad.vulndomain.corp
"CN=Jamie Bundy,OU=Alsid,DC=alsid,DC=corp",TRUE,Jamie,Jamie Bundy,user,7fca8cf2-42f4-4df2-be16-ffb0a990c279,jamie.bundy,S-1-5-21-3286942722-1835917726-286516016-1173,Bundy,jamie.bundy@ad.vulndomain.corp
"CN=Guy Brant,OU=Alsid,DC=alsid,DC=corp",TRUE,Guy,Guy Brant,user,0193038c-20c3-4709-b488-5b1f01802d40,guy.brant,S-1-5-21-3286942722-1835917726-286516016-1174,Brant,guy.brant@ad.vulndomain.corp
"CN=Joey Byars,OU=Alsid,DC=alsid,DC=corp",TRUE,Joey,Joey Byars,user,d14f40dc-19d4-4fd0-b321-ca08f9709f66,joey.byars,S-1-5-21-3286942722-1835917726-286516016-1175,Byars,joey.byars@ad.vulndomain.corp
"CN=Kendall Cannon,OU=Alsid,DC=alsid,DC=corp",TRUE,Kendall,Kendall Cannon,user,66458d2c-a105-4a2f-8489-4e6fa2976af2,kendall.cannon,S-1-5-21-3286942722-1835917726-286516016-1176,Cannon,kendall.cannon@ad.vulndomain.corp
"CN=Adalberto Abraham,OU=Alsid,DC=alsid,DC=corp",TRUE,Adalberto,Adalberto Abraham,user,63db0a81-1e5b-4f59-9982-ce6df338d803,adalberto.abraham,S-1-5-21-3286942722-1835917726-286516016-1177,Abraham,adalberto.abraham@ad.vulndomain.corp
"CN=Eduardo Beverly,OU=Alsid,DC=alsid,DC=corp",TRUE,Eduardo,Eduardo Beverly,user,66ed309b-2365-4601-9d38-fadb8b6e557a,eduardo.beverly,S-1-5-21-3286942722-1835917726-286516016-1178,Beverly,eduardo.beverly@ad.vulndomain.corp
"CN=Cristopher Bass,OU=Alsid,DC=alsid,DC=corp",TRUE,Cristopher,Cristopher Bass,user,b6ad0334-f93d-4e3c-b692-c414aa03330e,cristopher.bass,S-1-5-21-3286942722-1835917726-286516016-1179,Bass,cristopher.bass@ad.vulndomain.corp
"CN=Kieth Cardenas,OU=Alsid,DC=alsid,DC=corp",TRUE,Kieth,Kieth Cardenas,user,bc65a01a-490f-451a-88e4-890c940276d7,kieth.cardenas,S-1-5-21-3286942722-1835917726-286516016-1180,Cardenas,kieth.cardenas@ad.vulndomain.corp
"CN=Gerard Bowman,OU=Alsid,DC=alsid,DC=corp",TRUE,Gerard,Gerard Bowman,user,616bbdaa-7bf2-4553-912b-535015037f17,gerard.bowman,S-1-5-21-3286942722-1835917726-286516016-1181,Bowman,gerard.bowman@ad.vulndomain.corp
"CN=Christopher Barajas,OU=Alsid,DC=alsid,DC=corp",TRUE,Christopher,Christopher Barajas,user,17063442-5822-4f18-98fe-8efd6d626a3a,christopher.barajas,S-1-5-21-3286942722-1835917726-286516016-1182,Barajas,christopher.barajas@ad.vulndomain.corp
"CN=Erasmo Blank,OU=Alsid,DC=alsid,DC=corp",TRUE,Erasmo,Erasmo Blank,user,d730995d-6f6f-43d0-ac50-4d0c8daa3792,erasmo.blank,S-1-5-21-3286942722-1835917726-286516016-1183,Blank,erasmo.blank@ad.vulndomain.corp
"CN=Denver Beckman,OU=Alsid,DC=alsid,DC=corp",TRUE,Denver,Denver Beckman,user,0bc2e873-c200-4282-b20d-ff362479fa53,denver.beckman,S-1-5-21-3286942722-1835917726-286516016-1184,Beckman,denver.beckman@ad.vulndomain.corp
"CN=Carson Badger,OU=Alsid,DC=alsid,DC=corp",TRUE,Carson,Carson Badger,user,621cadab-21da-4b25-816f-f4ff3b380a7e,carson.badger,S-1-5-21-3286942722-1835917726-286516016-1185,Badger,carson.badger@ad.vulndomain.corp
"CN=Jep Gambardella,OU=Alsid,DC=alsid,DC=corp",TRUE,Jep,Jep Gambardella,user,9235b060-8cb3-4278-84a1-3918b431cf97,jep.gambardella,S-1-5-21-3286942722-1835917726-286516016-1186,Gambardella,jep.gambardella@ad.vulndomain.corp
"CN=Jeffry Burks,OU=Alsid,DC=alsid,DC=corp",TRUE,Jeffry,Jeffry Burks,user,d212813a-ad35-412e-96fa-53c513f1b78e,jeffry.burks,S-1-5-21-3286942722-1835917726-286516016-1187,Burks,jeffry.burks@ad.vulndomain.corp
"CN=Alva Alaniz,OU=Alsid,DC=alsid,DC=corp",TRUE,Alva,Alva Alaniz,user,19934d41-b30d-4408-8dd2-88baec676ef5,alva.alaniz,S-1-5-21-3286942722-1835917726-286516016-1188,Alaniz,alva.alaniz@ad.vulndomain.corp
"CN=Haywood Brent,OU=Alsid,DC=alsid,DC=corp",TRUE,Haywood,Haywood Brent,user,08b94e88-1bc4-4d2d-a243-5a7aa9638867,haywood.brent,S-1-5-21-3286942722-1835917726-286516016-1189,Brent,haywood.brent@ad.vulndomain.corp
"CN=Kareem Cameron,OU=Alsid,DC=alsid,DC=corp",TRUE,Kareem,Kareem Cameron,user,48356824-1fd1-4c62-aad8-6b88d44de4a1,kareem.cameron,S-1-5-21-3286942722-1835917726-286516016-1190,Cameron,kareem.cameron@ad.vulndomain.corp
"CN=Ivory Bryson,OU=Alsid,DC=alsid,DC=corp",TRUE,Ivory,Ivory Bryson,user,8f93d21b-d0ab-4b30-bf4c-f1541cae29de,ivory.bryson,S-1-5-21-3286942722-1835917726-286516016-1191,Bryson,ivory.bryson@ad.vulndomain.corp
"CN=Harold Bray,OU=Alsid,DC=alsid,DC=corp",TRUE,Harold,Harold Bray,user,29160d96-6d60-483c-9b14-41507eba3125,harold.bray,S-1-5-21-3286942722-1835917726-286516016-1192,Bray,harold.bray@ad.vulndomain.corp
"CN=Laverne Carrington,OU=Alsid,DC=alsid,DC=corp",TRUE,Laverne,Laverne Carrington,user,5945d193-429f-44ae-abed-d7c038b229e3,laverne.carrington,S-1-5-21-3286942722-1835917726-286516016-1193,Carrington,laverne.carrington@ad.vulndomain.corp
"CN=Fritz Bostick,OU=Alsid,DC=alsid,DC=corp",TRUE,Fritz,Fritz Bostick,user,90f05a2a-d077-4db5-b7dd-a9b01bf8997a,fritz.bostick,S-1-5-21-3286942722-1835917726-286516016-1194,Bostick,fritz.bostick@ad.vulndomain.corp
"CN=Eldridge Billingsley,OU=Alsid,DC=alsid,DC=corp",TRUE,Eldridge,Eldridge Billingsley,user,778d8673-9293-482b-bca0-fcfb31be2406,eldridge.billingsley,S-1-5-21-3286942722-1835917726-286516016-1195,Billingsley,eldridge.billingsley@ad.vulndomain.corp
"CN=Carmen Bach,OU=Alsid,DC=alsid,DC=corp",TRUE,Carmen,Carmen Bach,user,ab52d4fd-dec8-47dc-8c94-f86a8e8744ef,carmen.bach,S-1-5-21-3286942722-1835917726-286516016-1196,Bach,carmen.bach@ad.vulndomain.corp
"CN=Bill Murray,OU=Alsid,DC=alsid,DC=corp",TRUE,Bill,Bill Murray,user,385f1bcd-acd0-4929-885c-c3bbcc744e3b,bill.murray,S-1-5-21-3286942722-1835917726-286516016-1197,Murray,bill.murray@ad.vulndomain.corp
"CN=Darwin Bearden,OU=Alsid,DC=alsid,DC=corp",TRUE,Darwin,Darwin Bearden,user,3a01a394-aeaf-458d-9d8a-2910df3973b9,darwin.bearden,S-1-5-21-3286942722-1835917726-286516016-1198,Bearden,darwin.bearden@ad.vulndomain.corp
"CN=Darin Bayer,OU=Alsid,DC=alsid,DC=corp",TRUE,Darin,Darin Bayer,user,063d87df-b1d3-41a0-b759-a90f231b490a,darin.bayer,S-1-5-21-3286942722-1835917726-286516016-1199,Bayer,darin.bayer@ad.vulndomain.corp
"CN=Davis Beattie,OU=Alsid,DC=alsid,DC=corp",TRUE,Davis,Davis Beattie,user,672a8cb8-07c1-4bb7-85a3-ee52be701afc,davis.beattie,S-1-5-21-3286942722-1835917726-286516016-1200,Beattie,davis.beattie@ad.vulndomain.corp
"CN=Cedric Bagwell,OU=Alsid,DC=alsid,DC=corp",TRUE,Cedric,Cedric Bagwell,user,3c4a9b49-341f-4936-9363-27e4ddbe67d6,cedric.bagwell,S-1-5-21-3286942722-1835917726-286516016-1201,Bagwell,cedric.bagwell@ad.vulndomain.corp
"CN=Damien Batten,OU=Alsid,DC=alsid,DC=corp",TRUE,Damien,Damien Batten,user,f9539231-53d3-4360-b141-df9b635897c5,damien.batten,S-1-5-21-3286942722-1835917726-286516016-1202,Batten,damien.batten@ad.vulndomain.corp
"CN=Lynn Chang,OU=Alsid,DC=alsid,DC=corp",TRUE,Lynn,Lynn Chang,user,42b71ecc-3819-40c8-94cd-7d5b56772931,lynn.chang,S-1-5-21-3286942722-1835917726-286516016-1203,Chang,lynn.chang@ad.vulndomain.corp
